residence_msr_id,main_mode,share
82,bike,0.015589440513769131
82,car,0.4457587968530635
82,pt,0.08261111036883566
82,ride,0.1050888010361121
82,walk,0.3509518512282195
99,bike,0.02919726330385443
99,car,0.5044097580162071
99,pt,0.08134718744040487
99,ride,0.09025904379010534
99,walk,0.2947867474494282
105,bike,0.06260278560621628
105,car,0.2700774039958186
105,pt,0.20498220441854695
105,ride,0.0696655908006611
105,walk,0.392672015178757
84,bike,0.015457891154323125
84,car,0.33811101760148116
84,pt,0.20408735882688833
84,ride,0.09389217137190489
84,walk,0.3484515610454025
"70,71,72,73,74,75,76,77,78",bike,0.0912323533672267
"70,71,72,73,74,75,76,77,78",car,0.4543629822373749
"70,71,72,73,74,75,76,77,78",pt,0.1081756012586143
"70,71,72,73,74,75,76,77,78",ride,0.08084625018718296
"70,71,72,73,74,75,76,77,78",walk,0.26538281294960114
47,bike,0.1910819722101791
47,car,0.1613023110917117
47,pt,0.2862615528966146
47,ride,0.03938620516156341
47,walk,0.32196795863993116
11,bike,0.11140777328763254
11,car,0.25489874298738147
11,pt,0.2770248353211533
11,ride,0.07124413791339015
11,walk,0.28542451049044254
8,bike,0.12975062337356544
8,car,0.34537753350311423
8,pt,0.1807035148175646
8,ride,0.061694345340333606
8,walk,0.28247398296542203
1,bike,0.13846269285511212
1,car,0.1461594177975091
1,pt,0.3391359477121421
1,ride,0.037583627323907916
1,walk,0.33865831431132876
81,bike,0.049168778485423704
81,car,0.4249121557548529
81,pt,0.0695151390679692
81,ride,0.10810655326948258
81,walk,0.3482973734222715
26,bike,0.0990673239588714
26,car,0.38292139595519886
26,pt,0.1656053009279644
26,ride,0.078224924039077
26,walk,0.2741810551188884
106,bike,0.04107918213373035
106,car,0.5402408352953203
106,pt,0.07951110188804723
106,ride,0.10339589430665401
106,walk,0.23577298637624808
"102,103",bike,0.01661896762365345
"102,103",car,0.4754402651866931
"102,103",pt,0.10488157819340722
"102,103",ride,0.10603425428781366
"102,103",walk,0.29702493470843266
"87,86,91",bike,0.029412040234471956
"87,86,91",car,0.45671349108941883
"87,86,91",pt,0.11072380064992192
"87,86,91",ride,0.09010740244128086
"87,86,91",walk,0.3130432655849065
"61,62,63,64,65,66,67,68",bike,0.03701716351760341
"61,62,63,64,65,66,67,68",car,0.4164002674259604
"61,62,63,64,65,66,67,68",pt,0.1074444351601948
"61,62,63,64,65,66,67,68",ride,0.06655177190907448
"61,62,63,64,65,66,67,68",walk,0.37258636198716694
"40,41,42,43",bike,0.032319018151541395
"40,41,42,43",car,0.5323447487266548
"40,41,42,43",pt,0.10567276795521813
"40,41,42,43",ride,0.10248677606070195
"40,41,42,43",walk,0.22717668910588376
"2,3",bike,0.05516866944915033
"2,3",car,0.36935728446377264
"2,3",pt,0.1914567069238494
"2,3",ride,0.09039531240763948
"2,3",walk,0.2936220267555881
"5,6",bike,0.03169984220550299
"5,6",car,0.38431415953567244
"5,6",pt,0.17852338507184973
"5,6",ride,0.08411069220630456
"5,6",walk,0.32135192098067034
53,bike,0.05663437596945555
53,car,0.39994151001797773
53,pt,0.166073584265036
53,ride,0.07319663251485277
53,walk,0.30415389723267805
